index,filename,reduced_formula,full_formula,num_sites,status,r_val,quality_tag,temperature,pressure,sgr,is_polymorph,polymorph_count,sg_number,refined_sg_number,refined_sg_symbol,is_organic,prototype
62,100081.cif,SiO2,Si4+16 O2-32,48,success,0.024,,,,C12/C1,True,558.0,15.0,15.0,C2/c,False,Fluorite/Rutile
169,100199.cif,SiO2,Si4+24 O2-48,72,success,0.082,,,,P212121,True,558.0,19.0,19.0,P2_12_12_1,False,Fluorite/Rutile
324,100341.cif,SiO2,Si4+3 O2-6,9,success,0.016,Q,293.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
771,10078.cif,SiO2,Si4+2 O2-4,6,success,0.015,Q,293.0,0.101325,P42/MNM,True,558.0,136.0,136.0,P4_2/mnm,False,Fluorite/Rutile
9556,1109.cif,SiO2,Si4+48 O2-96,144,success,0.076,Q,293.0,0.101325,C1C1,True,558.0,9.0,9.0,Cc,False,Fluorite/Rutile
10307,1440.cif,SiO2,Si4+320 O2-640,960,success,0.064,,293.0,0.101325,F1,True,558.0,1.0,1.0,P1,False,Fluorite/Rutile
11430,151108.cif,SiO2,Si4+12 O2-24,36,success,,Q,293.0,0.101325,I12/A1,True,558.0,,15.0,C2/c,False,Fluorite/Rutile
12663,152295.cif,SiO2,Si4+18 O2-36,54,success,0.028,Q,293.0,0.101325,P12/C1,True,558.0,13.0,13.0,P2/c,False,Fluorite/Rutile
12830,152448.cif,SiO2,Si4+108 O2-216,324,success,,,293.0,0.101325,P6/MMM,True,558.0,191.0,191.0,P6/mmm,False,Fluorite/Rutile
13662,15321.cif,SiO2,Si4+8 O2-16,24,success,0.086,,493.0,0.101325,C2221,True,558.0,20.0,20.0,C222_1,False,Fluorite/Rutile
13714,153257.cif,SiO2,Si4+32 O2-64,96,success,0.047,Q,293.0,0.101325,I41/AMDZ,True,558.0,141.0,141.0,I4_1/amd,False,Fluorite/Rutile
13796,153334.cif,SiO2,Si4+72 O2-144,216,success,0.009,,293.0,0.101325,PMMM,True,558.0,47.0,47.0,Pmmm,False,Fluorite/Rutile
13798,153336.cif,SiO2,Si4+144 O2-288,432,success,0.006,,293.0,0.101325,CMMM,True,558.0,65.0,65.0,Cmmm,False,Fluorite/Rutile
14397,153886.cif,SiO2,Si4+4 O2-8,12,success,0.0689,Q,293.0,0.101325,P41212,True,558.0,92.0,92.0,P4_12_12,False,Fluorite/Rutile
14859,154321.cif,SiO2,Si4+4 O2-8,12,success,0.0325,,,,P1121,True,558.0,4.0,4.0,P2_1,False,Fluorite/Rutile
15862,155241.cif,SiO2,Si4+3 O2-6,9,success,0.0843,,298.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
15865,155244.cif,SiO2,Si4+4 O2-8,12,success,0.0829,,873.0,0.101325,P41212,True,558.0,92.0,92.0,P4_12_12,False,Fluorite/Rutile
15869,155248.cif,SiO2,Si4+3 O2-6,9,success,0.0842,,473.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
15870,155249.cif,SiO2,Si4+3 O2-6,9,success,0.084,,673.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
15872,155250.cif,SiO2,Si4+3 O2-6,9,success,0.0829,,873.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
15873,155251.cif,SiO2,Si4+3 O2-6,9,success,0.0878,,1073.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
15874,155252.cif,SiO2,Si4+3 O2-6,9,success,0.0588,,1273.0,0.101325,P3221,True,558.0,154.0,154.0,P3_221,False,Fluorite/Rutile
16340,155684.cif,SiO2,Si4+24 O2-48,72,success,,,293.0,0.101325,PMMNS,True,558.0,59.0,59.0,Pmmn,False,Fluorite/Rutile
