mp_id,oxidation_states,entry_type
mp-10009,"{'Ga': 2.0, 'Te': -2.0}",GGA
mp-1001011,{},GGA
mp-1001017,"{'Zn': 2.0, 'In': 3.0, 'Se': -2.0}",GGA
mp-1001024,"{'Y': 3.0, 'Mg': 2.0, 'S': -2.0}",GGA
mp-1001117,"{'Mn': 2.0, 'N': -3.0}",GGA
mp-10014,"{'Ta': 4.0, 'S': -2.0}",GGA
mp-10015,"{'Si': -4.0, 'Os': 4.0}",GGA
mp-1001571,"{'Ca': 2.0, 'Fe': 4.0, 'O': -2.0}",GGA+U
mp-1001605,"{'Pr': 3.0, 'Bi': -3.0}",GGA
mp-1001780,"{'Lu': 3.0, 'Cu': 1.0, 'S': -2.0}",GGA
mp-1001783,"{'Li': 1.0, 'Sn': 3.0, 'S': -2.0}",GGA
mp-1001784,"{'Li': 1.0, 'Ti': 3.0, 'S': -2.0}",GGA
mp-1001787,{},GGA
mp-1001824,"{'Ir': 4.0, 'C': -4.0}",GGA
mp-1001825,{},GGA
mp-1001827,"{'Ir': 4.0, 'C': -4.0}",GGA
mp-1001828,"{'W': 3.0, 'N': -3.0}",GGA
mp-1001831,{},GGA
mp-1001833,{},GGA
mp-1001834,"{'Hf': 2.0, 'N': -2.0}",GGA
mp-1001835,"{'Li': 1.0, 'B': -1.0}",GGA
mp-1001836,{},GGA
mp-1001843,"{'Ho': 3.0, 'P': -3.0}",GGA
mp-1001913,{},GGA
mp-1001914,{},GGA
mp-1001916,"{'Hf': 3.0, 'N': -3.0}",GGA
mp-10020,"{'Sc': 3.0, 'C': -3.0}",GGA
mp-1002063,"{'Sn': 4.0, 'S': -2.0}",GGA
mp-1002106,{},GGA
mp-1002117,{},GGA
mp-1002122,{},GGA
mp-1002124,"{'Hf': 4.0, 'C': -4.0}",GGA
mp-1002136,{},GGA
mp-1002165,"{'Ge': 3.0, 'C': -3.0}",GGA
mp-1002181,{},GGA
mp-1002182,{},GGA
mp-1002183,{},GGA
mp-1002184,{},GGA
mp-1002187,{},GGA
mp-1002188,{},GGA
mp-1002206,"{'Si': 4.0, 'C': -4.0}",GGA
mp-1002207,"{'Re': 3.0, 'N': -3.0}",GGA
mp-1002209,"{'Re': 3.0, 'N': -3.0}",GGA
mp-1002210,"{'Eu': 2.0, 'S': -2.0}",GGA
mp-1002219,"{'Tl': 3.0, 'Sb': -3.0}",GGA
mp-1002220,"{'Tm': 3.0, 'Sb': -3.0}",GGA
mp-1002222,"{'Tl': 3.0, 'N': -3.0}",GGA
mp-1002226,"{'Er': 3.0, 'As': -3.0}",GGA
mp-1002227,"{'Rb': 1.0, 'Sb': -1.0}",GGA
mp-1002228,"{'Pt': 4.0, 'C': -4.0}",GGA
mp-1002229,"{'Er': 3.0, 'N': -3.0}",GGA
mp-1002568,"{'Mg': 2.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1002569,"{'Mg': 2.0, 'Mn': 2.0, 'O': -2.0}",GGA+U
mp-1002570,"{'K': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1002571,"{'Na': 1.0, 'Mn': 3.5, 'O': -2.0}",GGA+U
mp-1002572,"{'Li': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1002574,"{'K': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-10027,"{'Ti': 2.0, 'Se': -2.0}",GGA
mp-10033,"{'Nb': 4.0, 'S': -2.0}",GGA
mp-1003311,"{'Ca': 2.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1003312,"{'K': 1.0, 'Mn': 3.75, 'O': -2.0}",GGA+U
mp-1003313,"{'Li': 1.0, 'Mn': 3.333333333333333, 'O': -2.0}",GGA+U
mp-1003316,"{'K': 1.0, 'Mn': 3.75, 'O': -2.0}",GGA+U
mp-1003322,"{'Ca': 2.0, 'Mn': 2.0, 'O': -2.0}",GGA+U
mp-1003484,"{'Mg': 2.0, 'Mn': 3.5, 'O': -2.0}",GGA+U
mp-1003486,"{'Ca': 2.0, 'Mn': 2.0, 'O': -2.0}",GGA+U
mp-1003637,"{'Li': 1.0, 'Mn': 3.666666666666666, 'O': -2.0}",GGA+U
mp-1003766,"{'Na': 1.0, 'Mn': 3.5, 'O': -2.0}",GGA+U
mp-1003769,"{'Li': 1.0, 'Mn': 3.25, 'O': -2.0}",GGA+U
mp-10038,{},GGA
mp-1003854,"{'K': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1003856,"{'Mg': 2.0, 'Mn': 2.0, 'O': -2.0}",GGA+U
mp-1004,{},GGA
mp-1004037,"{'Ca': 2.0, 'Mn': 2.0, 'O': -2.0}",GGA+U
mp-10041,{},GGA
mp-1004373,"{'Li': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1004375,"{'Mg': 2.0, 'Mn': 3.5, 'O': -2.0}",GGA+U
mp-10044,"{'B': 3.0, 'As': -3.0}",GGA
mp-10048,"{'Ga': 1.0, 'As': -1.0}",GGA
mp-10049,{},GGA
mp-10052,"{'Ti': 3.0, 'As': -3.0}",GGA
mp-1005719,{},GGA
mp-1005752,{},GGA
mp-1006059,"{'Tl': 1.0, 'Bi': -3.0}",GGA
mp-1006132,{},GGA
mp-1006164,{},GGA
mp-1006226,{},GGA
mp-1006245,{},GGA
mp-1006246,{},GGA
mp-1006328,{},GGA
mp-1006330,{},GGA
mp-1006351,{},GGA
mp-10064,"{'Si': 4.0, 'O': -2.0}",GGA
mp-1006878,"{'Ba': 2.0, 'O': -1.0}",GGA
mp-1006882,"{'Cd': 2.0, 'C': -2.0}",GGA
mp-1006884,{},GGA
mp-1006886,"{'Ce': 2.0, 'S': -2.0}",GGA
mp-1007,"{'Dy': 3.0, 'Sb': -3.0}",GGA
mp-1007656,{},GGA
mp-1007660,"{'Ir': 3.0, 'N': -3.0}",GGA
mp-1007661,"{'In': 3.0, 'Sb': -3.0}",GGA
mp-1007664,{},GGA
mp-1007666,{},GGA
mp-1007685,"{'In': 3.0, 'Ag': 1.0, 'Se': -2.0}",GGA
mp-1007691,{},GGA
mp-1007692,{},GGA
mp-1007776,"{'Tl': 3.0, 'P': -3.0}",GGA
mp-1007778,"{'Tl': 3.0, 'N': -3.0}",GGA
mp-10078,"{'Tb': 2.0, 'Ti': 2.0, 'Ge': -4.0}",GGA
mp-1007821,{},GGA
mp-1007853,{},GGA
mp-1007854,{},GGA
mp-1007855,{},GGA
mp-1007862,{},GGA
mp-1007881,"{'Fe': 3.0, 'B': -3.0}",GGA
mp-1007918,{},GGA
mp-1007922,"{'Cu': 1.0, 'I': -1.0}",GGA
mp-1007923,{},GGA
mp-1007975,{},GGA
mp-1007992,{},GGA
mp-1008223,"{'Ca': 2.0, 'Se': -2.0}",GGA
mp-1008274,{},GGA
mp-1008275,{},GGA
mp-1008278,{},GGA
mp-1008279,{},GGA
mp-1008280,{},GGA
mp-1008282,{},GGA
mp-1008285,{},GGA
mp-1008349,{},GGA
mp-1008471,"{'Cd': 2.0, 'Te': -2.0}",GGA
mp-1008472,"{'Cd': 2.0, 'Si': 2.0, 'P': -2.0}",GGA
mp-1008483,"{'Cd': 2.0, 'N': -2.0}",GGA
mp-1008487,"{'B': -3.0, 'W': 3.0}",GGA
mp-1008488,"{'Bi': -3.0, 'Pd': 3.0}",GGA
mp-1008489,"{'Cd': 2.0, 'N': -2.0}",GGA
mp-1008490,"{'Bi': 3.0, 'I': -1.0}",GGA
mp-1008491,"{'Be': 2.0, 'Si': 2.0, 'P': -2.0}",GGA
mp-1008500,"{'Ba': 2.0, 'O': -2.0}",GGA
mp-1008523,"{'B': 3.0, 'C': -1.0, 'N': -1.0}",GGA
